temp	t1	t2
24.55	1	1
24.55	1	1
24.55	1	1
61.2	-1	1
24.65	1	1
24.6	1	1
24.6	1	1
24.6	1	1
24.7	1	1
24.7	1	1
24.7	1	1
24.7	1	1
25.7	1	-1
24.75	1	1
24.75	1	1
24.75	1	1
24.8	1	1
24.8	1	1
24.85	1	1
24.85	1	1
24.85	1	1
24.85	1	1
24.9	1	1
24.9	1	1
24.9	1	1
24.95	1	1
24.95	1	1
24.95	1	1
24.95	1	1
25	1	1
25.05	1	1
25.05	1	1
25.05	1	1
25.05	1	1
25.1	1	1
25.1	1	1
25.1	1	1
25.1	1	1
25.1	1	1
25.15	1	1
25.1	1	1
25.1	1	1
37.4	-1	1
27	-1	1
25.15	1	1
25.15	1	1
23.75	1	-1
25.15	1	1
25.15	1	1
25.15	1	1
25.15	1	1
25.15	1	1
25.15	1	1
25.15	1	1
25.15	1	-1
25.1	1	1
25.1	1	1
25.15	1	1
25.15	1	1
25.1	1	1
25.1	1	1
25.1	1	1
25.1	1	1
25.05	1	1
24	1	1
24	1	1
24	1	1
24	1	1
36	-1	1
24	1	1
24.05	-1	1
24.05	1	1
24.05	1	1
24.05	1	1
24.1	1	1
24.1	1	1
24.1	1	1
24.1	1	1
24.15	1	1
24.15	1	1
24.15	1	1
24.15	1	1
24.2	1	1
24.2	1	1
24.25	1	1
56.2	-1	1
24.25	1	1
36.3	-1	1
25.95	1	1
25.95	1	1
25.95	1	1
25.9	1	1
24.45	1	1
24.5	1	1
24.45	1	1
24.5	1	1
24.5	1	1
24.9	1	1
24.5	1	1
24.5	1	1
24.5	1	1
24.5	1	1
24.5	1	1
24.5	1	1
24.55	1	1
24.7	1	1
24.75	1	1
24.8	1	1
24.75	1	1
24.8	1	1
24.85	1	1
24.85	1	1
24.85	1	1
24.85	1	1
24.85	1	1
25	1	1
25	1	1
25	1	1
25	1	1
31.4	1	1
25.05	1	1
25.05	1	1
25.05	1	1
25.1	1	1
25.1	1	1
25.1	1	1
25.1	1	1
25.05	1	1
25	1	1
25	1	1
25.05	1	1
25.05	1	1
25.05	1	1
25.05	1	1
25.05	1	1
25.5	1	1
25.45	1	1
25.5	1	1
25.55	1	1
25.55	1	1
25.6	1	1
25.55	1	1
37.65	-1	1
25.55	1	1
25.55	-1	1
25.55	1	1
25.55	1	1
25.55	1	1
21.5	1	1
25.55	1	1
25.4	1	1
25.35	1	1
25.55	1	1
25.35	1	1
25.35	1	1
25.35	1	1
25.35	1	1
25.35	1	1
25.3	1	1
25.3	1	1
25.95	1	1
37.8	-1	1
25.25	1	1
25.4	1	1
25.3	1	1
25.25	1	1
25.25	1	1
25.25	1	1
37.7	1	-1
25.15	1	1
25.65	1	-1
25.75	-1	1
37.85	-1	1
25.15	1	1
25.15	1	1
25.15	1	1
25.15	1	1
25.15	1	1
25.15	1	1
25.15	1	1
25.15	1	1
27.15	1	1
25.35	1	1
25.15	1	1
25.15	1	1
22.4	-1	1
52.7	-1	-1
25.15	1	1
25.15	1	1
25.2	1	1
57.25	1	1
25.15	1	1
38	-1	-1
25.25	1	1
25.75	-1	1
